#OTUID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_161	4	20	1	2	0	1	8	6	15	321	26	9	21	11	13	70	2	5
ASV_183	55	14	53	1	17	33	29	117	4	87	28	24	3	33	8	0	10	12
ASV_178	30	57	20	19	20	17	20	53	30	29	28	25	27	38	28	26	15	26
ASV_160	26	29	16	34	17	54	21	25	31	20	69	29	26	21	12	23	28	16
ASV_175	84	15	47	31	79	75	5	4	14	12	11	0	19	13	17	10	20	30
ASV_185	46	27	38	59	30	45	14	11	32	21	7	11	40	21	10	5	31	20
ASV_237	50	30	27	26	16	31	17	22	25	21	21	16	20	42	26	53	25	25
ASV_187	47	19	36	55	36	59	8	7	13	13	19	29	15	19	13	20	27	24
ASV_192	32	15	25	42	43	38	13	22	24	23	18	17	18	33	18	34	33	21
ASV_165	10	105	37	3	1	17	14	2	89	8	1	79	46	15	5	13	0	37
ASV_1654	16	47	13	20	9	22	46	29	38	23	24	34	24	21	32	34	17	36
ASV_184	25	21	48	54	40	33	17	6	42	15	22	13	15	21	23	19	26	21
ASV_177	15	5	13	59	3	11	48	16	28	29	5	54	74	59	16	12	10	9
ASV_200	30	17	6	8	20	18	12	8	19	31	4	4	113	16	12	22	91	23
ASV_188	22	41	15	8	38	52	25	29	9	38	14	14	34	28	25	27	28	18
ASV_217	21	3	7	12	22	5	12	84	57	95	13	9	22	12	34	12	7	28
ASV_223	103	14	3	9	80	3	12	8	26	3	10	7	44	7	70	23	6	12
ASV_202	2	9	3	8	28	20	15	98	8	62	31	96	0	4	19	10	23	30
ASV_209	27	31	56	3	13	15	10	44	9	27	14	16	53	7	39	35	10	29
ASV_198	20	58	11	60	6	47	22	20	18	21	26	16	13	23	32	16	10	16
ASV_224	35	80	6	12	6	19	29	46	19	12	10	27	20	32	29	16	11	20
ASV_204	14	10	14	6	5	2	28	18	33	27	17	28	27	50	34	43	39	30
ASV_207	35	22	39	32	22	33	23	29	15	19	27	18	15	21	20	21	21	26
ASV_213	31	27	28	21	19	12	20	13	20	14	30	25	19	36	26	47	17	23
ASV_248	28	33	12	30	10	30	44	32	29	27	18	40	17	13	19	22	11	18
ASV_203	18	8	10	22	7	14	39	13	25	16	24	35	17	27	39	23	25	48
ASV_246	24	22	8	5	15	14	49	26	33	66	18	111	7	7	10	13	3	18
ASV_199	37	26	7	12	21	21	35	12	12	26	34	24	33	37	29	13	18	21
ASV_215	21	40	53	8	1	27	15	14	38	19	9	13	16	13	29	30	49	15
ASV_210	28	27	11	18	20	15	38	38	16	24	22	33	6	16	34	19	23	28
ASV_219	15	21	30	40	13	18	22	30	15	27	23	24	19	12	31	29	22	16
ASV_194	19	35	10	17	32	13	19	24	14	35	19	21	32	15	32	21	19	27
ASV_201	77	21	20	28	81	34	7	4	8	11	8	3	16	14	11	12	11	22
ASV_2195	18	41	18	23	10	18	35	37	17	46	22	32	19	11	26	11	13	22
ASV_235	17	40	37	4	1	5	28	32	18	22	25	15	13	32	43	28	6	39
ASV_218	15	21	0	155	18	32	13	10	11	7	11	11	18	13	58	6	0	13
