#OTUID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_638	3	2	1	3	4	2	7	2	22	10	7	6	5	14	9	5	5	10
ASV_643	3	0	13	7	8	1	6	4	6	9	10	7	4	6	6	6	12	6
ASV_724	10	9	6	2	4	6	9	9	3	6	7	7	4	2	10	3	4	14
ASV_637	6	6	9	7	7	10	4	6	5	4	4	9	9	6	11	3	5	4
ASV_653	4	6	5	5	1	5	5	6	10	4	7	6	7	8	6	9	10	8
ASV_665	9	10	7	6	9	7	11	1	3	3	5	10	1	6	5	4	3	6
ASV_666	8	4	1	0	0	0	7	6	11	10	5	9	5	8	9	19	3	7
ASV_675	5	14	14	4	4	5	3	5	8	4	2	3	7	6	7	9	1	7
ASV_913	8	5	55	7	1	0	3	2	2	0	3	6	3	2	8	2	0	3
ASV_2270	5	7	4	3	4	7	11	9	5	6	9	5	6	2	11	3	4	6
ASV_636	6	5	6	9	9	8	12	7	4	5	5	6	3	3	6	2	6	9
ASV_689	9	6	5	1	3	7	6	7	4	8	6	4	5	6	3	12	11	9
ASV_697	9	5	6	1	0	7	14	7	3	10	6	21	3	5	8	3	1	4
ASV_709	2	3	1	1	0	3	5	1	11	26	13	1	5	12	18	10	0	2
ASV_728	4	5	8	3	2	5	9	5	7	3	3	4	3	2	5	30	5	10
ASV_731	12	7	4	6	2	27	7	6	3	2	0	9	0	2	13	4	5	1
ASV_598	4	4	3	12	10	2	11	11	7	4	3	11	5	6	4	4	3	9
ASV_635	6	5	0	6	3	1	12	4	13	13	2	9	10	4	12	7	1	4
ASV_589	5	4	3	6	14	4	4	3	5	9	6	4	7	9	9	6	8	7
ASV_623	8	7	4	7	1	6	16	13	6	3	3	11	13	1	6	1	5	4
ASV_632	4	2	3	3	0	1	13	11	8	8	14	11	4	7	8	4	3	6
ASV_633	6	47	19	2	0	0	0	2	5	7	1	1	0	1	0	10	0	6
ASV_649	0	0	95	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ASV_674	7	8	2	8	1	1	9	9	10	10	5	15	6	2	5	1	9	3
ASV_715	10	7	3	7	7	10	6	3	8	6	7	6	2	4	5	4	3	6
ASV_781	5	2	1	0	3	0	2	6	8	8	5	16	44	1	3	0	2	1
ASV_909	4	15	6	7	5	6	6	6	7	3	5	2	1	3	5	7	4	7
ASV_968	2	2	0	0	2	1	0	5	2	81	0	6	2	0	7	1	0	3
ASV_1055	5	5	0	7	3	2	15	7	6	9	4	8	8	5	4	3	11	7
ASV_631	8	8	8	4	5	10	3	8	7	6	3	4	9	6	6	6	3	8
ASV_673	6	9	5	7	5	3	7	6	8	9	11	5	4	7	7	1	6	7
ASV_692	5	8	3	2	1	3	5	12	8	6	3	26	4	3	7	8	4	1
ASV_705	2	1	82	0	0	0	4	2	3	3	1	3	0	0	0	2	0	4
ASV_743	1	5	4	5	2	5	3	13	7	8	6	12	7	5	6	9	4	2
ASV_988	5	3	1	5	3	8	5	4	8	6	7	6	15	4	9	8	3	6
ASV_671	0	1	0	1	0	0	93	5	1	0	2	1	9	0	1	0	0	1
ASV_682	9	10	9	4	10	10	0	7	2	4	2	4	10	2	3	4	4	5
ASV_711	0	1	3	0	23	2	1	11	6	6	7	3	18	13	4	2	0	5
ASV_768	14	3	22	0	0	2	0	41	3	2	0	6	0	1	14	2	0	2
ASV_603	8	11	4	3	1	8	7	6	5	3	4	8	5	8	5	5	8	1
ASV_938	4	5	5	4	3	7	12	9	3	1	4	13	7	3	8	8	3	5
ASV_2061	5	8	3	3	5	4	14	4	8	6	6	13	4	2	4	3	4	8
ASV_629	3	7	5	4	3	5	4	6	10	8	3	6	5	9	9	7	5	5
ASV_662	0	1	0	41	0	51	1	0	2	0	0	3	2	0	0	0	0	0
ASV_677	10	1	1	1	3	3	5	2	12	12	9	8	9	5	6	6	6	5
ASV_685	3	3	3	4	8	6	7	2	4	8	8	10	3	11	12	1	10	0
ASV_695	3	2	13	6	11	4	4	5	6	7	5	2	7	8	9	2	8	4
ASV_1912	17	10	2	2	0	5	11	4	10	5	7	6	1	1	5	7	2	16
ASV_733	5	5	3	2	1	2	12	4	10	3	16	4	3	4	5	5	7	11
ASV_756	15	8	2	1	0	21	0	0	15	1	8	6	2	15	3	0	0	9
ASV_1293	9	7	6	3	2	20	13	2	6	4	5	7	2	1	5	3	4	6
ASV_2106	5	5	2	3	0	4	10	5	4	6	6	16	7	7	9	3	2	9
ASV_641	5	6	4	3	1	0	2	22	7	12	12	3	2	0	15	3	2	6
ASV_680	11	7	3	2	0	1	10	6	5	6	6	9	7	3	5	11	3	9
ASV_776	6	5	2	11	0	1	4	17	17	2	3	11	4	2	3	6	5	7
ASV_1102	13	3	0	4	3	7	13	5	2	4	6	9	3	5	5	16	0	7
ASV_706	25	5	4	0	0	0	14	5	12	3	4	8	5	2	1	6	10	3
ASV_710	2	2	0	3	4	2	4	0	5	1	6	1	0	24	1	2	34	2
ASV_919	6	7	3	2	0	2	9	6	6	11	1	3	6	11	4	6	8	15
ASV_683	11	3	2	16	5	4	0	1	17	5	0	1	3	5	4	3	15	1
ASV_686	5	4	2	4	5	4	10	5	5	10	5	4	6	10	3	9	1	3
ASV_744	0	2	0	61	1	0	4	11	1	10	2	1	0	0	0	0	2	0
ASV_2327	3	0	1	2	0	0	7	6	10	12	2	2	7	7	12	8	8	7
ASV_659	5	3	1	0	7	2	4	4	3	3	8	5	3	10	7	15	10	6
ASV_664	5	1	0	0	0	3	44	4	17	7	5	7	1	0	0	1	0	7
ASV_687	4	3	14	4	14	2	8	4	2	7	13	4	2	2	1	6	3	7
ASV_801	1	4	2	0	1	0	23	5	8	3	3	22	5	9	6	5	1	3
ASV_1339	6	3	5	5	1	4	1	6	7	8	11	6	6	7	4	6	3	12
ASV_2225	5	3	12	8	7	3	8	7	3	5	2	5	4	2	8	4	7	8
ASV_2480	5	4	1	2	3	6	7	6	9	2	12	15	5	2	2	7	6	5
ASV_713	7	8	21	2	0	4	9	3	3	7	4	8	5	1	4	7	3	7
ASV_720	7	8	15	3	7	11	5	7	1	6	5	5	2	3	2	4	8	3
ASV_735	6	3	2	4	3	7	6	2	3	11	8	12	6	5	9	3	3	8
ASV_774	5	6	3	5	4	6	5	7	2	5	5	7	5	2	11	7	6	10
ASV_778	6	10	1	3	3	6	9	6	7	6	5	5	4	3	7	5	4	8
ASV_861	0	3	8	10	19	4	2	6	0	0	6	4	2	2	7	3	10	13
ASV_679	4	6	2	5	2	3	7	13	8	6	6	12	6	1	7	7	3	3
ASV_694	9	5	5	5	2	8	6	10	5	6	8	6	2	3	4	5	7	5
ASV_701	7	6	7	1	2	10	5	5	4	5	4	11	6	5	7	3	3	6
ASV_734	4	7	4	4	6	7	4	6	4	5	6	0	7	4	10	5	5	3
ASV_758	5	10	10	7	11	7	1	4	9	3	4	3	7	1	5	2	2	5
ASV_759	6	1	10	4	9	4	10	3	9	0	13	11	2	3	2	6	4	5
ASV_760	5	5	1	4	4	7	8	10	6	10	7	11	2	1	3	5	7	3
ASV_646	4	5	1	4	2	2	10	7	4	6	2	12	5	3	5	1	16	5
ASV_699	4	12	7	4	7	3	3	4	5	2	6	10	4	4	9	1	2	7
ASV_798	5	8	2	3	0	4	13	6	7	12	7	15	5	1	4	4	3	1
ASV_1120	3	2	1	0	2	3	11	6	9	4	7	17	5	3	7	8	3	5
ASV_1907	7	2	0	0	0	0	11	7	7	3	10	4	12	4	14	4	5	6
ASV_2863	3	1	0	1	0	2	5	8	4	13	5	6	3	8	8	6	9	15
ASV_747	4	5	2	6	4	10	7	4	6	6	10	8	5	4	6	4	5	3
ASV_667	7	5	0	1	0	6	4	17	2	7	6	7	6	1	7	6	6	7
ASV_712	6	4	8	18	1	9	4	5	3	2	9	7	2	1	0	3	1	16
ASV_726	4	3	3	3	2	7	9	4	4	5	4	6	4	8	7	6	10	6
ASV_792	3	2	3	9	1	2	9	7	4	7	10	9	5	3	7	9	2	8
ASV_2907	0	0	1	1	2	1	10	10	12	7	10	19	8	5	2	2	4	5
ASV_719	9	9	2	4	2	4	13	5	4	2	8	3	5	2	6	6	2	10
ASV_752	6	7	4	3	4	6	3	10	3	3	1	7	1	3	19	2	5	5
ASV_1081	5	6	4	12	6	6	11	3	2	4	5	6	3	6	9	5	2	3
ASV_725	2	3	2	4	7	6	2	3	8	14	8	6	8	3	3	8	7	6
ASV_770	12	8	5	0	0	21	10	2	3	7	5	3	1	0	4	8	0	6
ASV_791	5	7	5	2	3	6	12	6	6	4	4	7	3	3	4	3	2	13
ASV_795	1	5	1	1	2	6	12	7	7	3	12	6	9	6	9	4	0	5
ASV_833	5	14	4	8	2	4	6	6	1	4	5	6	8	2	6	4	5	6
ASV_871	1	16	7	4	1	5	7	1	5	5	7	5	3	6	7	3	1	5
ASV_1578	7	3	7	2	2	7	5	10	10	0	5	5	1	6	8	6	5	5
ASV_2745	10	9	1	1	4	4	9	3	10	3	3	14	1	5	5	1	3	1
ASV_688	0	6	0	4	2	4	2	4	5	3	9	5	0	4	9	4	23	6
ASV_740	8	0	0	0	0	0	64	0	2	18	0	8	0	0	1	0	0	1
ASV_783	4	11	2	8	8	3	1	2	9	4	2	7	11	6	4	4	3	3
ASV_788	2	6	2	6	12	10	3	2	5	5	5	3	6	10	3	3	6	5
ASV_802	0	0	0	0	0	0	6	0	2	7	2	0	0	0	0	63	1	3
ASV_1002	4	7	9	5	2	13	6	18	2	3	3	5	2	0	4	3	1	4
ASV_2295	3	3	1	0	1	1	7	8	4	26	2	22	14	0	1	5	0	1
ASV_754	6	7	4	6	3	1	8	3	7	13	5	9	3	6	8	1	0	5
ASV_789	6	4	1	4	1	3	15	2	7	14	2	5	4	2	7	4	4	6
ASV_856	17	6	15	0	2	2	7	6	1	2	7	2	3	3	7	6	1	7
ASV_865	8	4	1	4	0	11	12	7	2	3	7	5	2	3	4	2	8	9
ASV_1935	5	3	4	1	6	13	6	4	1	3	14	2	5	5	8	3	2	4
ASV_2045	5	4	5	1	2	1	18	5	8	6	4	5	9	2	6	5	3	4
ASV_806	4	7	5	6	5	4	6	10	3	3	2	1	4	2	5	13	6	4
ASV_807	4	2	0	3	2	3	4	0	5	7	22	6	3	2	6	7	12	3
ASV_916	0	3	1	2	1	1	55	1	3	2	7	15	1	1	2	0	2	0
ASV_1057	6	4	3	8	4	3	2	8	3	2	8	6	10	4	3	3	9	6
ASV_1830	4	4	7	0	1	2	9	13	15	2	6	4	5	3	2	10	1	6
ASV_1862	7	8	7	5	7	9	4	3	3	1	6	3	6	3	5	5	5	4
ASV_702	4	5	1	5	1	8	6	9	7	9	5	9	3	4	7	3	2	5
ASV_714	5	9	2	1	1	0	5	12	8	5	5	5	8	2	6	7	7	8
ASV_723	0	0	0	0	0	0	1	5	1	1	0	2	3	1	0	71	2	2
ASV_732	7	4	4	5	4	0	6	3	3	5	8	4	8	2	15	1	7	5
ASV_766	7	4	12	0	2	7	7	2	2	7	6	5	3	5	6	3	1	9
ASV_805	4	3	0	2	3	3	11	7	6	4	12	8	5	2	7	4	7	3
ASV_808	3	3	2	26	0	1	2	6	8	6	1	3	1	0	4	2	3	15
ASV_891	2	7	5	3	6	4	6	3	10	5	5	3	7	5	4	9	3	3
ASV_892	8	7	4	5	0	2	6	8	6	7	2	10	5	1	9	4	0	12
ASV_1569	3	5	2	6	5	8	8	3	2	7	4	6	0	1	7	2	15	7
ASV_1574	4	0	2	3	2	4	13	4	4	5	5	15	14	5	4	5	1	2
ASV_1850	0	1	1	1	0	0	8	4	5	2	14	19	9	3	9	6	5	6
ASV_745	9	6	4	4	0	1	8	10	3	2	6	11	5	2	3	5	2	10
ASV_1781	7	5	1	6	1	5	4	1	6	8	3	10	5	2	7	6	6	3
ASV_698	12	11	19	1	2	6	3	1	0	2	2	4	3	2	0	11	2	4
ASV_848	0	1	3	1	4	1	7	2	3	8	10	14	6	5	13	7	4	2
ASV_952	0	1	3	1	1	5	4	4	6	3	9	9	7	7	13	8	5	5
ASV_963	5	5	0	7	4	7	9	5	4	6	3	9	3	4	4	3	3	2
ASV_1103	7	5	3	5	3	3	7	7	1	3	7	14	5	4	3	1	1	5
ASV_1797	4	10	5	4	4	6	3	8	5	3	3	9	6	1	1	5	4	10
ASV_736	11	5	4	8	0	3	4	7	10	3	6	9	1	1	2	3	4	6
ASV_746	5	2	1	3	0	10	3	7	5	0	3	4	0	9	36	0	0	0
ASV_753	8	4	0	0	2	13	7	6	2	1	2	12	6	0	2	3	17	6
ASV_765	6	4	6	9	5	13	3	5	2	2	4	5	3	2	0	6	2	7
ASV_772	10	10	3	6	2	4	6	9	6	4	3	5	5	3	3	3	5	4
ASV_782	8	4	9	9	0	16	2	3	3	4	8	5	4	2	2	5	3	2
ASV_787	8	9	6	2	1	1	5	3	3	5	8	3	4	4	8	4	3	8
ASV_832	8	11	4	1	2	4	1	8	4	4	7	3	3	4	8	4	9	5
ASV_860	3	2	0	0	5	2	0	9	7	9	5	5	16	9	3	3	5	5
ASV_914	2	6	4	1	2	2	9	5	5	8	7	7	8	2	5	6	0	10
ASV_1564	0	7	6	5	2	6	11	16	1	3	2	3	3	5	4	2	3	6
ASV_1758	7	4	6	2	14	5	9	5	3	2	4	8	1	3	5	0	2	6
ASV_748	2	0	1	0	1	4	7	1	17	10	4	1	2	18	12	0	0	5
ASV_799	2	9	3	3	2	2	6	10	4	6	7	2	8	3	4	5	2	5
ASV_817	0	14	3	0	8	2	3	5	6	1	2	5	6	14	2	1	10	6
ASV_820	3	2	38	4	7	0	3	3	0	5	1	1	0	0	6	0	5	2
ASV_830	0	1	0	14	0	2	7	21	11	34	0	0	0	0	0	0	0	1
ASV_838	6	8	1	6	2	6	4	4	7	4	5	13	4	2	3	6	8	4
ASV_854	4	4	4	9	1	6	4	7	3	1	8	6	9	3	7	3	7	3
ASV_959	3	9	9	4	1	4	3	11	4	2	3	5	5	5	7	2	7	2
ASV_1193	3	10	3	2	4	3	0	7	4	1	8	4	9	8	8	3	3	4
ASV_717	5	1	0	1	0	2	8	3	4	7	5	4	5	5	12	19	4	3
ASV_773	6	6	2	5	1	4	11	6	6	2	7	9	4	4	8	2	2	4
ASV_804	3	2	4	2	9	11	6	12	4	4	7	7	6	1	3	5	2	4
ASV_1060	3	6	10	3	5	3	0	16	0	2	7	13	1	0	1	8	4	4
ASV_729	8	10	3	1	1	7	4	5	7	7	3	5	1	3	5	10	0	6
ASV_777	3	0	0	0	1	4	22	4	3	6	7	10	7	3	8	4	0	3
ASV_977	3	3	7	1	2	1	8	7	4	8	12	4	5	6	6	5	4	2
ASV_1051	4	4	3	3	2	5	8	5	3	4	6	8	5	4	7	7	2	0
ASV_1083	10	2	7	8	7	2	6	1	3	5	4	11	4	1	6	3	2	1
ASV_716	1	3	0	0	1	0	4	11	2	11	0	7	1	1	3	32	1	4
ASV_831	3	9	5	1	1	7	5	9	3	1	5	2	4	9	5	2	5	6
ASV_869	2	5	14	12	13	3	0	5	1	5	4	2	0	0	7	3	3	2
ASV_889	9	8	0	5	3	4	5	7	11	4	2	6	7	1	0	8	5	1
ASV_1442	6	4	5	6	10	2	2	2	3	11	3	2	3	4	10	6	0	5
ASV_1602	2	7	4	1	0	3	4	7	3	7	9	18	0	1	3	1	6	9
ASV_750	5	1	2	1	4	10	5	4	5	6	5	5	6	7	10	2	5	2
ASV_779	8	4	25	1	0	6	8	5	3	1	2	1	1	3	8	2	2	3
ASV_814	5	4	5	6	2	4	7	5	3	7	7	3	4	2	3	4	7	7
ASV_1030	7	16	1	2	0	1	2	6	6	6	3	4	13	1	9	5	3	2
ASV_737	7	6	5	2	4	3	3	3	3	10	0	3	11	1	8	2	11	3
ASV_835	4	5	15	4	11	0	15	3	4	5	4	0	4	1	1	3	2	1
ASV_839	0	0	1	0	0	34	7	3	2	2	7	7	8	1	0	7	0	1
ASV_1101	6	7	0	2	0	0	5	4	3	3	1	13	2	2	2	1	3	28
ASV_1113	3	3	0	0	1	3	7	26	7	17	0	9	4	3	0	2	1	1
ASV_1154	9	12	2	3	0	7	10	3	7	0	4	3	3	3	2	3	1	2
ASV_1899	3	5	2	5	3	1	3	15	3	5	7	10	5	2	5	5	0	6
ASV_764	3	0	1	0	0	3	4	6	17	0	33	3	1	2	2	3	4	2
ASV_821	9	3	3	5	1	8	6	7	1	4	4	13	4	1	5	2	2	2
ASV_1032	7	7	2	6	2	4	5	4	2	4	3	4	3	5	5	0	7	9
ASV_1139	3	8	6	4	5	6	5	4	4	4	6	10	1	1	1	2	0	4
ASV_1297	4	4	5	11	4	4	0	5	0	2	4	6	3	1	9	5	1	3
ASV_1318	3	6	2	5	0	6	7	9	2	3	3	11	4	3	9	2	2	1
ASV_1480	3	3	2	1	0	1	5	14	8	2	4	5	5	9	10	8	2	2
ASV_769	1	5	1	6	4	2	7	3	3	5	8	7	6	4	4	1	5	4
ASV_784	4	8	15	6	6	2	0	3	4	5	2	1	4	6	7	0	2	3
ASV_809	4	1	22	0	0	3	9	6	5	4	4	11	1	0	2	4	2	0
ASV_818	3	5	2	0	1	0	5	5	4	5	6	10	1	8	8	10	3	4
ASV_1052	6	4	0	7	4	3	4	1	1	1	11	8	7	2	2	6	3	6
ASV_1090	3	1	1	2	2	3	7	3	40	0	1	4	6	0	3	3	1	1
ASV_1201	12	8	3	2	2	9	2	9	12	3	3	4	1	3	2	1	4	5
ASV_1263	3	0	2	0	0	1	3	5	7	4	8	19	7	1	12	3	2	4
ASV_1547	4	5	2	8	2	3	6	8	5	5	9	7	3	5	6	4	2	0
ASV_1937	6	3	7	5	3	2	8	3	3	6	4	6	3	3	6	7	5	1
ASV_2083	1	6	1	0	0	0	3	2	3	67	0	1	0	0	2	0	0	1
ASV_757	1	1	0	28	2	13	4	5	1	3	3	4	0	0	0	7	3	4
ASV_761	6	1	0	0	0	0	11	3	2	7	10	2	2	10	1	11	5	4
ASV_823	4	0	0	2	0	0	9	12	4	11	7	3	4	8	5	7	3	5
ASV_849	0	0	0	0	0	0	57	3	0	25	0	1	0	0	0	0	0	0
ASV_1043	3	5	3	3	0	0	12	3	2	3	0	11	2	0	1	32	0	3
ASV_1085	5	6	1	4	2	2	4	11	3	3	3	8	3	2	3	2	11	3
ASV_1218	11	2	0	8	1	2	12	4	2	5	1	10	5	3	3	4	3	4
ASV_2438	1	7	1	0	0	4	6	14	8	1	8	6	5	4	10	4	1	2
ASV_780	4	1	0	2	0	8	2	0	9	0	2	3	2	0	12	4	27	3
ASV_785	3	1	1	4	3	0	9	4	3	10	3	2	7	12	3	0	6	3
ASV_790	3	7	2	7	6	0	7	13	4	5	4	3	5	2	1	1	0	5
ASV_844	7	1	2	1	3	0	14	7	2	5	6	9	6	1	3	6	1	7
ASV_937	6	4	4	4	1	3	6	4	3	1	1	9	3	3	7	4	6	5
ASV_1235	4	1	0	2	1	3	8	6	10	8	6	5	7	3	4	2	3	5
ASV_1512	2	2	4	4	3	6	9	5	5	3	4	4	4	0	5	13	1	4
ASV_2526	7	3	2	10	9	5	4	5	6	5	3	0	1	2	5	3	4	6
ASV_755	3	5	2	3	1	3	2	6	6	2	7	3	7	6	3	12	3	5
ASV_894	4	5	14	4	0	2	2	5	2	4	7	3	2	2	4	7	0	13
ASV_898	3	2	3	7	3	7	5	5	3	6	5	3	5	3	2	9	1	3
ASV_902	8	4	0	2	6	17	7	2	3	7	5	6	2	2	3	2	1	2
ASV_927	3	1	2	0	2	1	1	1	0	0	3	2	1	1	0	50	1	8
ASV_1048	4	7	1	3	2	0	3	8	3	4	2	11	2	3	4	4	5	12
ASV_1065	4	7	0	5	0	36	1	3	2	3	2	0	1	1	3	4	3	0
ASV_1132	3	3	1	2	2	5	7	6	3	8	7	9	1	1	9	5	3	3
ASV_1165	2	2	4	6	4	3	5	4	2	8	4	5	1	5	9	7	4	2
ASV_1247	3	3	5	5	2	4	3	5	7	4	3	2	2	6	7	6	1	6
ASV_1347	2	2	4	0	1	3	12	5	5	3	10	8	8	3	2	4	2	5
ASV_2461	5	5	5	1	3	3	6	3	7	5	6	5	5	6	3	2	6	5
ASV_794	3	4	4	1	2	5	5	4	3	8	2	8	6	3	5	3	1	11
ASV_827	3	4	2	16	1	2	4	6	3	2	6	4	6	2	0	1	10	2
ASV_878	4	0	3	2	1	2	8	3	8	7	12	2	7	4	6	4	2	6
ASV_883	5	2	3	3	3	6	9	4	5	5	4	4	0	2	4	17	2	3
ASV_907	17	11	0	1	0	0	4	4	5	27	1	1	0	0	2	3	1	1
ASV_934	6	9	6	5	5	6	3	5	5	3	0	3	1	2	5	7	4	1
ASV_1015	0	2	7	4	6	5	2	3	4	2	2	4	6	9	3	5	4	4
ASV_1078	5	4	3	1	2	2	4	14	3	4	3	9	5	2	5	2	7	3
ASV_1322	10	3	6	4	5	5	3	3	4	8	1	5	1	3	3	7	1	3
ASV_1443	3	4	3	4	4	9	5	5	2	2	8	9	5	3	4	3	2	6
ASV_1819	5	9	2	0	2	5	4	4	2	1	7	11	3	3	6	2	5	2
ASV_2713	3	6	3	2	1	1	8	12	5	2	7	7	7	2	4	5	3	2
ASV_884	3	8	2	8	2	2	4	6	2	7	6	5	2	1	4	0	4	6
ASV_924	2	12	5	3	2	0	3	9	3	3	5	4	6	3	9	4	1	3
ASV_940	9	3	3	2	4	6	3	7	6	6	0	4	5	0	6	2	4	5
ASV_1046	5	4	7	4	9	4	3	4	2	6	3	4	3	2	5	5	2	1
ASV_1056	7	8	0	1	0	3	8	11	5	2	7	4	2	2	6	2	2	2
ASV_1084	6	9	0	6	2	3	0	6	4	1	5	8	4	6	7	1	4	3
ASV_1155	5	5	1	4	0	9	13	6	1	1	7	6	9	1	2	1	1	3
ASV_1401	5	7	2	0	1	2	2	7	7	10	3	8	7	1	2	5	8	2
ASV_1686	5	1	0	0	0	6	4	4	1	2	6	3	0	0	17	1	15	3
ASV_2051	3	3	2	2	1	4	6	5	1	2	6	9	8	5	3	5	8	3
ASV_2662	1	3	2	3	1	5	5	6	5	4	5	10	1	5	4	11	3	4
ASV_840	9	8	1	0	0	4	1	8	13	2	0	14	2	1	5	0	6	1
ASV_858	12	2	4	2	0	3	11	7	2	0	1	6	5	7	3	3	6	1
ASV_875	2	3	8	14	0	3	6	5	2	2	5	8	5	1	8	0	0	1
ASV_982	2	1	2	0	5	5	6	4	1	5	13	16	2	2	6	4	3	0
ASV_990	3	8	5	6	0	4	5	4	3	2	4	10	7	2	2	4	3	2
ASV_1006	3	1	5	0	0	0	1	21	3	5	1	3	0	7	8	2	0	15
ASV_1047	2	3	4	9	1	1	6	5	4	5	3	7	6	2	13	1	1	1
ASV_1383	3	2	0	3	6	2	2	3	4	3	6	2	5	3	9	11	3	10
ASV_1440	0	3	3	3	1	7	7	4	5	5	3	11	3	5	5	3	4	5
ASV_2147	3	1	7	2	3	5	12	3	5	2	4	7	3	3	4	4	2	6
ASV_2301	9	4	4	2	4	1	7	5	10	1	6	8	2	0	5	3	2	3
ASV_2916	3	1	0	0	1	2	0	4	1	0	60	2	0	1	0	1	0	1
ASV_864	8	1	2	3	1	0	7	4	3	2	2	2	6	4	2	4	9	5
ASV_890	6	8	3	3	1	7	11	2	5	4	8	2	1	2	3	1	2	4
ASV_1439	2	2	1	0	0	2	21	3	7	1	6	16	4	0	4	3	0	2
ASV_1461	2	1	4	0	13	6	1	5	5	10	1	4	2	9	2	0	1	4
ASV_1565	1	2	8	2	0	7	7	2	1	3	5	6	1	3	4	8	4	6
ASV_1785	1	5	8	2	3	4	8	13	2	3	2	5	0	2	1	4	8	2
ASV_1842	1	2	1	3	0	3	5	2	1	3	4	9	2	6	7	4	6	9
ASV_2522	3	8	4	1	2	5	8	11	3	1	5	4	3	3	2	5	1	4
ASV_825	0	7	6	2	9	1	1	6	2	9	1	5	9	0	2	3	2	1
ASV_841	3	0	4	0	2	2	1	5	1	6	4	2	2	4	3	5	3	25
ASV_855	1	7	0	3	15	7	0	12	6	3	6	1	0	1	5	4	5	0
ASV_879	6	0	0	0	0	40	4	6	1	4	2	2	4	1	3	0	0	0
ASV_880	10	1	3	7	0	13	5	3	1	2	17	8	1	2	0	0	2	2
ASV_923	1	18	1	1	3	3	7	3	6	0	7	12	4	3	2	0	1	0
ASV_1011	4	8	2	4	19	4	5	1	3	3	2	1	3	5	2	3	4	2
ASV_1079	1	1	4	1	0	0	5	3	14	8	4	4	7	1	6	5	8	2
ASV_1093	3	3	2	4	3	1	11	11	4	10	2	15	2	0	2	2	2	1
ASV_1127	1	4	0	1	0	5	6	8	30	1	1	10	0	1	5	0	0	0
ASV_1134	3	0	3	1	5	7	8	6	3	4	7	5	6	4	4	3	4	1
ASV_1852	3	7	2	2	0	0	4	5	6	2	3	8	2	0	2	3	24	3
ASV_813	2	1	3	3	7	2	5	5	2	8	3	3	5	6	8	3	0	2
ASV_837	8	4	5	4	0	0	4	1	5	7	3	7	3	5	6	4	1	4
ASV_1000	3	5	5	3	14	5	2	6	5	2	0	7	1	0	0	1	7	6
ASV_1033	10	6	1	0	2	4	3	6	3	4	7	7	5	3	1	1	4	4
ASV_1053	6	3	1	2	1	5	6	3	1	4	4	3	3	4	6	1	1	9
ASV_1069	3	3	2	2	0	0	3	10	8	5	3	2	10	2	9	5	2	5
ASV_1213	2	13	0	0	6	1	8	2	5	6	2	4	4	3	6	4	0	9
ASV_1824	2	5	2	2	1	3	12	11	1	2	9	7	4	0	3	3	6	0
ASV_1990	3	0	1	5	17	5	13	3	5	4	3	6	0	1	3	1	0	2
ASV_2700	2	3	4	2	0	5	6	6	10	1	7	9	4	2	1	1	4	3
ASV_870	3	5	4	9	0	8	1	6	1	5	2	4	8	2	3	3	3	4
ASV_887	0	0	0	8	5	16	6	4	6	6	4	5	6	0	1	2	0	1
ASV_900	1	8	6	7	9	3	0	4	7	0	1	2	2	11	0	1	1	3
ASV_906	10	5	0	0	4	3	7	5	10	5	1	6	1	1	1	3	0	8
ASV_947	2	3	3	3	4	1	3	7	1	3	7	1	9	3	3	6	6	6
ASV_1075	2	2	6	2	3	1	8	9	3	6	5	4	6	1	7	2	3	2
ASV_1086	10	7	1	3	0	5	4	5	2	10	5	6	1	4	3	0	3	5
ASV_1250	3	4	2	5	1	5	6	0	6	5	6	6	2	1	9	3	4	4
ASV_1531	16	2	16	1	1	1	5	7	4	0	3	4	1	1	0	2	3	4
ASV_2251	5	2	2	0	1	0	5	6	6	6	11	7	5	2	2	4	5	2
ASV_2532	3	4	1	0	0	1	17	4	10	4	5	8	7	0	5	0	1	4
ASV_819	0	0	44	0	2	1	1	2	0	1	2	3	1	1	0	2	3	2
ASV_826	6	8	6	2	1	8	4	2	2	4	3	2	4	5	2	2	4	6
ASV_828	5	5	2	5	3	4	6	3	5	2	4	5	0	4	5	4	6	5
ASV_918	2	3	0	3	1	11	6	1	3	1	6	9	0	3	12	5	2	1
ASV_970	3	1	1	0	0	1	13	6	6	6	2	6	4	8	5	2	2	4
ASV_984	4	3	2	0	1	0	7	2	7	10	2	6	4	3	6	5	4	5
ASV_985	8	7	7	3	5	6	3	10	2	4	2	1	3	0	4	6	0	2
ASV_993	7	3	4	4	1	4	3	3	3	8	5	7	2	3	3	5	6	1
ASV_1044	5	6	5	6	8	2	2	1	4	0	2	0	4	6	6	4	4	8
ASV_1092	3	6	3	4	6	4	6	2	1	2	5	1	3	1	3	5	6	6
ASV_1129	3	0	1	1	9	2	1	5	5	7	1	6	2	0	4	0	0	26
ASV_1166	3	3	3	3	2	2	3	6	6	8	5	14	4	1	0	4	3	3
ASV_1313	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
ASV_1508	20	5	1	1	3	2	15	2	7	4	1	5	1	0	2	0	0	0
